{'basic_model': 'resnet50', 'motion': '', 'seq': True, 'se_layer': False, 'dilation': False, 'distillation': False, 'L2': False, 'KL': False, 'iter_num': 80000, 'iter_save': 10000, 'iter_start_seq': 0, 'train_batch_size': 6, 'last_iter': 0, 'lr': 0.001, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.95, 'snapshot': '', 'pretrain': './ckpt/VideoSaliency_2020-02-04 11:17:40/60000.pth', 'imgs_file': 'Pre-train/pretrain_all_seq_DUT_TR_DAFB2_DAVSOD2.txt', 'train_loader': 'both'}

[iter 0][normal], [total loss 0.04209], [loss0 0.04209], [loss1 0.04209], [loss2 0.04209] [lr 0.0010000000000]
[iter 1][seq], [total loss 2.97093], [loss0 1.02804], [loss1 0.97565], [loss2 1.00933] [lr 0.0009999887500]
[iter 2][normal], [total loss 1.99971], [loss0 0.70445], [loss1 0.66952], [loss2 0.69198] [lr 0.0009999775000]
[iter 3][normal], [total loss 1.50807], [loss0 0.53662], [loss1 0.51043], [loss2 0.52727] [lr 0.0009999662499]
[iter 4][seq], [total loss 2.23535], [loss0 0.77240], [loss1 0.79245], [loss2 0.72351] [lr 0.0009999549999]
[iter 5][normal], [total loss 1.88032], [loss0 0.66119], [loss1 0.67790], [loss2 0.62045] [lr 0.0009999437498]
[iter 6][normal], [total loss 1.61878], [loss0 0.57381], [loss1 0.58813], [loss2 0.53889] [lr 0.0009999324997]
[iter 7][seq], [total loss 1.62044], [loss0 0.56660], [loss1 0.59429], [loss2 0.53135] [lr 0.0009999212497]
[iter 8][normal], [total loss 1.44838], [loss0 0.51163], [loss1 0.53624], [loss2 0.48030] [lr 0.0009999099995]
[iter 9][normal], [total loss 1.31382], [loss0 0.47075], [loss1 0.49289], [loss2 0.44255] [lr 0.0009998987494]
[iter 10][seq], [total loss 1.38018], [loss0 0.47899], [loss1 0.51993], [loss2 0.46524] [lr 0.0009998874993]
[iter 11][normal], [total loss 1.27376], [loss0 0.44767], [loss1 0.48519], [loss2 0.43506] [lr 0.0009998762491]
[iter 12][normal], [total loss 1.18264], [loss0 0.42009], [loss1 0.45473], [loss2 0.40846] [lr 0.0009998649990]
[iter 13][seq], [total loss 1.20823], [loss0 0.41705], [loss1 0.46554], [loss2 0.41910] [lr 0.0009998537488]
[iter 14][normal], [total loss 1.13681], [loss0 0.39837], [loss1 0.44363], [loss2 0.40029] [lr 0.0009998424986]
